2020-06-11 12:15:59,851 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:15:59,854 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:15:59,857 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:15:59,860 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:15:59,862 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:15:59,865 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:15:59,868 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:15:59,870 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:15:59,871 INFO web {'site': '127.0.0.1', 'remote_addr': '127.0.0.1', 'base_url': 'http://127.0.0.1:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,754 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,757 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,761 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,763 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,765 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,767 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,769 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,771 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,773 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:16:18,775 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:39,901 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,166 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,167 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,168 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,170 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,171 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,173 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,175 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,176 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:17:40,178 INFO web {'site': '0.0.0.0', 'remote_addr': '127.0.0.1', 'base_url': 'http://0.0.0.0:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:44:18,344 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,186 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,188 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,190 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,192 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,193 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,194 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,195 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,197 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,198 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:45:37,200 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,008 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,009 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,011 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,012 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,013 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,015 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,017 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,019 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,021 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:14,022 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,057 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,059 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,061 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,062 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,063 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,064 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,065 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,066 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,067 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:24,068 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,868 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,871 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,872 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,873 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,874 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,875 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-12 08:46:28,876 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
