2021-12-08 09:19:48,656 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.reportview.get_sidebar_stats', 'full_path': '/api/method/frappe.desk.reportview.get_sidebar_stats?stats=%5B%22_user_tags%22%5D&doctype=Company&filters=%5B%5D&_=1638948330820', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:19:49,267 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.load.getdoc', 'full_path': '/api/method/frappe.desk.form.load.getdoc?doctype=Company&name=Workie&_=1638948330816', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:19:50,573 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=2d8404c1caefd1a5f3fc1e0fbf4fd7d0b7a4731d0b9f40c28c13d4cb&doctype=Company&docname=Workie', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:19:51,121 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.client.get_js', 'full_path': '/api/method/frappe.client.get_js?items=%5B%22%2Fassets%2Ffrappe%2Fnode_modules%2Face-builds%2Fsrc-noconflict%2Face.js%22%5D&_=1638948330825', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:19:51,195 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.get_charts_for_country', 'full_path': '/api/method/erpnext.accounts.doctype.account.chart_of_accounts.chart_of_accounts.get_charts_for_country?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:19:51,317 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=2d8404c1caefd1a5f3fc1e0fbf4fd7d0b7a4731d0b9f40c28c13d4cb&doctype=Company&docname=Workie', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:19:51,383 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.utils.goal.get_monthly_goal_graph_data', 'full_path': '/api/method/frappe.utils.goal.get_monthly_goal_graph_data?doctype=Company&docname=Workie&title=Sales&goal_value_field=monthly_sales_target&goal_total_field=total_monthly_sales&goal_history_field=sales_monthly_history&goal_doctype=Sales+Invoice&goal_doctype_link=company&goal_field=base_grand_total&date_field=posting_date&filter_str=docstatus+%3D+1+and+is_opening+!%3D+%27Yes%27&aggregation=sum&_=1638948330824', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:19:51,567 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.notifications.get_open_count', 'full_path': '/api/method/frappe.desk.notifications.get_open_count?doctype=Company&name=Workie&items=%5B%22Quotation%22%2C%22Sales+Order%22%2C%22Delivery+Note%22%2C%22Sales+Invoice%22%2C%22Issue%22%2C%22Project%22%5D&_=1638948330823', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:20:24,922 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.form.load.getdoc', 'full_path': '/api/method/frappe.desk.form.load.getdoc?doctype=Account&name=Guarantee+Trust+Bank+-+Wk&_=1638948330826', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2021-12-08 09:20:25,278 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.realtime.can_subscribe_doc', 'full_path': '/api/method/frappe.realtime.can_subscribe_doc?sid=2d8404c1caefd1a5f3fc1e0fbf4fd7d0b7a4731d0b9f40c28c13d4cb&doctype=Account&docname=Guarantee%20Trust%20Bank%20-%20Wk', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
